gloss,path
BOWSALUTEALT202471,media/SG ASL Dictionary/ASL B/SG ASL Bow Salute Alt 2024-7-1 Upload/Documentation/SG ASL Bow Salute Alt 2024-7-1 CC.mp4
BAND202413,media/SG ASL Dictionary/ASL B/SG ASL Band 2024-1-3 Upload/Documentation/SG ASL Band 2024-1-3 CC.mp4
BRIGHTSMARTALT2024728,media/SG ASL Dictionary/ASL B/SG ASL Bright Smart Alt 2024-7-28 Upload/Documentation/SG ASL Bright Smart Alt 2024-7-28 CC.mp4
BLIND2024511,media/SG ASL Dictionary/ASL B/SG ASL Blind 2024-5-11 Upload/Documentation/SG ASL Blind 2024-5-11 CC.mp4
BRANDNEW2024710,media/SG ASL Dictionary/ASL B/SG ASL Brand New 2024-7-10 Upload/Documentation/SG ASL Brand New 2024-7-10 CC.mp4
BASH(PARTY)2024124,media/SG ASL Dictionary/ASL B/SG ASL Bash (Party) 2024-1-24 Upload/Documentation/SG ASL Bash (Party) 2024-1-24 CC.mp4
BAPTISM(EXTENDED)202418,media/SG ASL Dictionary/ASL B/SG ASL Baptism (Extended) 2024-1-8 Upload/Documentation/SG ASL Baptism (Extended) 2024-1-8 CC.mp4
BARK(ALT),media/SG ASL Dictionary/ASL B/SG ASL Bark (Alt) 2 2024-1-14 Upload/Documentation/SG ASL Bark (Alt) 2 2024-1-14 CC.mp4
BUNNY,media/SG ASL Dictionary/ASL B/SG ASL Bunny 2 Handed 2024-8-19 Upload/Documentation/SG ASL Bunny 2 Handed 2024-8-19 CC.mp4
BARBEDWIRE,media/SG ASL Dictionary/ASL B/SG ASL Barbed Wire 3 2024-1-12 Upload/Documentation/SG ASL Barbed Wire 3 2024-1-12 CC.mp4
BROOCH202483,media/SG ASL Dictionary/ASL B/SG ASL Brooch 2024-8-3 Upload/Documentation/SG ASL Brooch 2024-8-3 CC.mp4
BRIDGE,media/SG ASL Dictionary/ASL B/SG ASL Bridge 2 2024-7-26 Upload/Documentation/SG ASL Bridge 2 2024-7-26 CC.mp4
BLAME202453,media/SG ASL Dictionary/ASL B/SG ASL Blame 2024-5-3 Upload/Documentation/SG ASL Blame 2024-5-3 CC.mp4
BARELY(VARIANT),media/SG ASL Dictionary/ASL B/SG ASL Barely (Variant) 2 2024-1-13 Upload/Documentation/SG ASL Barely (Variant) 2 2024-1-13 CC.mp4
BEHALF(ALT),media/SG ASL Dictionary/ASL B/SG ASL Behalf (Alt) 1 2024-3-11 Upload/Documentation/SG ASL Behalf (Alt) 1 2024-3-11 CC.mp4
BUNKBED2024819,media/SG ASL Dictionary/ASL B/SG ASL Bunkbed 2024-8-19 Upload/Documentation/SG ASL Bunkbed 2024-8-19 CC.mp4
BASH(PHYSICAL),media/SG ASL Dictionary/ASL B/SG ASL Bash (Physical) 2 2024-1-24 Upload/Documentation/SG ASL Bash (Physical) 2 2024-1-24 CC.mp4
BEEHIVE202432,media/SG ASL Dictionary/ASL B/SG ASL Beehive 2024-3-2 Upload/Documentation/SG ASL Beehive 2024-3-2 CC.mp4
BERRIES,media/SG ASL Dictionary/ASL B/SG ASL Berries 2 2024-3-30 Upload/Documentation/SG ASL Berries 2 2024-3-30 CC.mp4
BURNOUT2024828,media/SG ASL Dictionary/ASL B/SG ASL Burn Out 2024-8-28 Upload/Documentation/SG ASL Burn Out 2024-8-28 CC.mp4
BECAUSE,media/SG ASL Dictionary/ASL B/SG ASL Because 2 2024-2-25 Upload/Documentation/SG ASL Because 2 2024-2-25 CC.mp4
BATHINGSUIT(2PIECEALT)202422,"media/SG ASL Dictionary/ASL B/SG ASL Bathing Suit (2 Piece, Alt) 2024-2-2 Upload/Documentation/SG ASL Bathing Suit (2 Piece, Alt) 2024-2-2 CC.mp4"
BEEP,media/SG ASL Dictionary/ASL B/SG ASL Beep 2 2024-3-4 Upload/Documentation/SG ASL Beep 2 2024-3-4 CC.mp4
